i,j,weight
14,30,0.05270902386456009
14,31,0.04706409219653791
14,32,0.05470364386914009
14,33,0.0472470695242587
14,35,0.04610892590019264
14,36,0.05182281189707996
14,38,0.04637718206820049
14,56,0.05499758857311663
14,57,0.0518393838975803
14,58,0.048763625257336844
14,59,0.055835849399347874
14,60,0.06752878101943398
14,61,0.06046990969505202
14,62,0.07183521350747957
14,63,0.06268264171512435
15,29,0.04453142796788739
15,30,0.04717123234888954
15,31,0.04215260031491043
15,32,0.04915975914407441
15,33,0.042334937324230874
15,36,0.04628772407385003
15,54,0.04909804001843877
15,55,0.047968298823710245
15,56,0.059671810588676516
15,57,0.055995926524881855
15,58,0.05260992903962527
15,59,0.059951317716639085
15,60,0.07206778777312955
15,61,0.0645375709702597
15,62,0.07632740595601334
15,63,0.06672740671585374
16,29,0.03362902430633757
16,30,0.035912743997774325
16,32,0.0376330132624734
16,33,0.0323206200600952
16,36,0.03514841669046639
16,53,0.040924142575709296
16,54,0.0473022482985693
16,55,0.04577320271325837
16,56,0.056388157334587324
16,57,0.05267453890586304
16,58,0.04942032462545065
16,59,0.05607474746026557
16,60,0.06703839648335864
16,61,0.06001707364699088
16,62,0.07069775320456347
16,63,0.06189937332594532
17,30,0.03756756322401018
17,32,0.0395331637983195
17,36,0.0366955321699644
17,51,0.03761578155731266
17,52,0.03942601041962141
17,53,0.05040506717863239
17,54,0.057666824467460284
17,55,0.055503020640076894
17,56,0.06801082759697533
17,57,0.0633624481783981
17,58,0.05939578568215147
17,59,0.06723452416837532
17,60,0.08013467864908459
17,61,0.07172380553478248
17,62,0.08430008116706196
17,63,0.07386719843744903
18,32,0.029444411523035133
18,50,0.028780416323764265
18,51,0.03757440753078161
18,52,0.03853783431990544
18,53,0.04859706504303997
18,54,0.05485977481091181
18,55,0.05240070023208507
18,56,0.06377998360751702
18,57,0.05918158596533496
18,58,0.05539469619824727
18,59,0.06252213135321258
18,60,0.07424961088154737
18,61,0.06639501463238405
18,62,0.07784985832816245
18,63,0.06824405595017188
19,50,0.028411861933219103
19,51,0.036707666074949706
19,52,0.03725760324234788
19,53,0.04667865425710726
19,54,0.052339628198979936
19,55,0.04980200459350236
19,56,0.06041872379843444
19,57,0.05593354182510228
19,58,0.05231508563421547
19,59,0.05895990297870947
19,60,0.06988668546464642
19,61,0.06246849826681764
19,62,0.07313927759773582
19,63,0.06414360263268669
20,50,0.033114919083590405
20,51,0.04243105015570295
20,52,0.04278601705987141
20,53,0.053376307531387834
20,54,0.05958825199648599
20,55,0.056555669312064495
20,56,0.06843556549252088
20,57,0.06328442398079534
20,58,0.05916159644515079
20,59,0.06659914709783914
20,60,0.07880322290871142
20,61,0.0704419754256765
20,62,0.08236474402112638
20,63,0.07227662249556302
21,50,0.041331512551798094
21,51,0.052470503232196514
21,52,0.05241023558598178
21,53,0.06494518794865271
21,54,0.07202105899106877
21,55,0.06811177377853234
21,56,0.08209814292452397
21,57,0.07577836881479756
21,58,0.07080075518181651
21,59,0.07955492837633442
21,60,0.18789281393776397
21,61,0.16786971193585515
21,62,0.19603686223599207
21,63,0.1720664358789491
22,51,0.04988807397584149
22,52,0.04931967656042201
22,53,0.060748783078939946
22,54,0.06690916261387696
22,55,0.06299530350918506
22,56,0.07568243260228728
22,57,0.06967271715399266
22,58,0.06502399983868995
22,59,0.07296200933390021
22,60,0.08596239624736877
22,61,0.07677523818991225
22,62,0.08949355597228296
22,63,0.07859570915515415
23,51,0.060726898853386675
23,52,0.11929496192324995
23,53,0.14631822625629534
23,54,0.1604216753995826
23,55,0.15060068509715854
23,56,0.18050649809770633
23,57,0.1658920872966263
23,58,0.1547167483686981
23,59,0.17342450747971552
23,60,0.20403981695856155
23,61,0.1821566322097836
23,62,0.21212328782013296
23,63,0.18632539121599137
24,51,0.05640617388248241
24,52,0.05504500679937095
24,53,0.06722715804326854
24,54,0.07337111789139128
24,55,0.06866904866668111
24,56,0.0821208103979349
24,57,0.07533284113585248
24,58,0.07020290508861955
24,59,0.07861538628901878
24,60,0.09237284994319349
24,61,0.08242076217339799
24,62,0.09589434177032431
24,63,0.08423747210708163
25,51,0.05288895898285915
25,52,0.05145626305923978
25,53,0.06272879331992134
25,54,0.06831328666187347
25,55,0.06384130600915519
