frequency,power
72934240657.82013,0.0
74205349961.20181,0.0
75498612355.45782,0.0
76814413928.1059,0.0
78153147495.45618,0.0
79515212719.88388,0.0
80901016229.1411,0.0
82310971737.75266,0.0
83745500170.52452,0.0
85205029788.20474,0.0
86689996315.33739,0.0
88200843070.34177,0.0
89738021097.8585,0.0
91301989303.40558,0.0
92893214590.37779,0.0
94512171999.43391,0.0
96159344850.31639,0.0
97835224886.13943,0.0
99540312420.1916,0.0
101275116485.30061,0.0
103040154985.79752,0.0
104835954852.12949,0.0
106663052198.17126,0.0
108521992481.27194,0.0
110413330665.09756,0.0
112337631385.30734,0.0
114295469118.11734,0.0
116287428351.80644,0.0
118314103761.20433,0.0
120376100385.22768,0.0
122474033807.50516,0.0
124608530340.15327,0.0
126780227210.75206,0.0
128989772752.58516,0.0
131237826598.1875,0.0
133525059876.27417,0.0
135852155412.09601,0.0
138219807931.287,0.0
140628724267.2693,0.0
143079623572.26807,0.0
145573237532.00372,0.0
148110310584.13098,0.0
150691600140.4801,0.0
153317876813.17072,0.0
155989924644.673,0.0
158708541341.86887,0.0
161474538514.20187,0.0
164288741915.9714,0.0
167151991692.8493,0.0
170065142632.69907,0.0
173029064420.76022,0.0
176044641899.27988,0.0
179112775331.67584,0.0
182234380671.29694,0.0
185410389834.8673,0.0
188641750980.70398,0.0
191929428791.7716,0.0
195274404763.6822,0.0
198677677497.7061,0.0
202140262998.88962,0.0
205663194979.3758,0.0
209247525167.00375,0.0
212894323619.2867,0.0
216604679042.86935,0.0
220379699118.5454,0.0
224220510831.9392,0.0
228128260809.95972,0.0
232104115663.1045,0.0
236149262333.7433,0.0
240264908450.46237,0.0
244452282688.58417,0.0
248712635136.9788,0.0
253047237671.26,0.0
257457384333.48465,0.0
261944391718.47913,0.0
266509599366.88965,0.0
271154370165.08203,0.0
275880090752.02234,0.0
280688171933.23193,0.0
285580049101.97394,0.0
290557182667.7689,0.0
295621058492.3782,0.0
300773188333.397,0.0
306015110295.5673,0.0
311348389289.95636,0.0
316774617501.1488,0.0
322295414862.5704,0.0
327912429540.0948,0.0
333627338424.09247,0.0
339441847630.03516,0.0
345357693007.84454,0.0
351376640660.10535,0.0
357500487469.3087,0.0
363731061634.298,0.0
370070223216.0507,0.0
376519864692.9723,0.0
383081911525.881,0.0
389758322732.82605,0.0
396551091473.9237,0.0
403462245646.40137,0.0
410493848489.98865,0.0
417647999202.8833,0.0
424926833568.43634,0.0
432332524592.7583,0.0
439867283153.4539,0.0
447533358659.6471,0.0
455333039723.5087,0.0
463268654843.5046,0.0
471342573099.53424,0.0
479557204860.18506,0.0
487915002502.33105,0.0
496418461143.2446,0.0
505070119385.4963,0.0
513872560074.8176,0.0
522828411071.17163,0.0
531940346033.28015,0.0
541211085216.8057,0.0
550643396286.4434,0.0
560240095142.1864,0.0
570004046759.9713,0.0
579938166046.9749,0.0
590045418711.839,0.0
600328822150.0283,0.0
610791446344.6527,0.0
621436414782.9658,0.0
632266905388.8358,0.0
643286151471.4907,0.0
654497442690.7753,0.0
665904126039.2302,0.0
677509606841.3115,0.0
689317349770.0002,0.0
701330879881.1293,0.0
713553783665.7646,0.0
725989710120.8857,0.0
738642371838.7682,0.0
751515546115.3241,0.0
764613076077.7579,0.0
777938871831.9022,0.0
791496911629.5236,0.0
805291243055.9697,0.0
819325984238.546,0.0
833605325075.922,0.0
848133528488.9633,0.0
862914931693.3978,0.0
877953947494.6111,0.0
893255065605.0581,0.0
908822853984.5983,0.0
924661960204.2107,0.0
940777112833.4537,0.0
957173122852.1476,0.0
973854885086.6024,0.0
990827379670.9352,0.0
1008095673533.8162,0.0
1025664921911.1249,0.0
1043540369885.0115,0.0
1061727353949.7173,0.0
1080231303604.7494,0.0
1099057742975.7733,0.0
1118212292463.7815,0.0
1137700670422.9763,0.0
1157528694867.946,0.0
